"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 26 12:12:21 MSK 2024","Sun May 26 12:12:22 MSK 2024","833","tests","test_main_page","TestMainPageQuestions","","","Проверка ответов соответствующим открываемым вопросам","Через метод параметризации поочередно проверяем соответствие текста ответов вопросам"
"passed","Sun May 26 12:13:12 MSK 2024","Sun May 26 12:13:16 MSK 2024","4146","tests","test_order_page","TestOrderPage","","","Заполнение формы заказа самоката","Заполняем форму заказа самоката, используя две кнопки Заказать как точки входа"
"passed","Sun May 26 12:12:55 MSK 2024","Sun May 26 12:12:56 MSK 2024","1336","tests","test_main_page","TestMainPageTransitions","","","Проверка перехода на страницу Дзена после нажатия на лого Яндекса","Нажимаем на лого Яндекса и проверяем, что новое окно — Яндекс Дзен"
"passed","Sun May 26 12:13:32 MSK 2024","Sun May 26 12:13:36 MSK 2024","3976","tests","test_order_page","TestOrderPage","","","Заполнение формы заказа самоката","Заполняем форму заказа самоката, используя две кнопки Заказать как точки входа"
"passed","Sun May 26 12:12:38 MSK 2024","Sun May 26 12:12:39 MSK 2024","493","tests","test_main_page","TestMainPageTransitions","","","Проверка перехода на главную страницу после нажатия на лого Самоката","Переходим на страницу заказа, после чего возвращаемся обратно на главную"
"passed","Sun May 26 12:11:00 MSK 2024","Sun May 26 12:11:00 MSK 2024","870","tests","test_main_page","TestMainPageQuestions","","","Проверка ответов соответствующим открываемым вопросам","Через метод параметризации поочередно проверяем соответствие текста ответов вопросам"
"passed","Sun May 26 12:11:32 MSK 2024","Sun May 26 12:11:33 MSK 2024","754","tests","test_main_page","TestMainPageQuestions","","","Проверка ответов соответствующим открываемым вопросам","Через метод параметризации поочередно проверяем соответствие текста ответов вопросам"
"passed","Sun May 26 12:10:23 MSK 2024","Sun May 26 12:10:24 MSK 2024","826","tests","test_main_page","TestMainPageQuestions","","","Проверка ответов соответствующим открываемым вопросам","Через метод параметризации поочередно проверяем соответствие текста ответов вопросам"
"passed","Sun May 26 12:12:04 MSK 2024","Sun May 26 12:12:05 MSK 2024","866","tests","test_main_page","TestMainPageQuestions","","","Проверка ответов соответствующим открываемым вопросам","Через метод параметризации поочередно проверяем соответствие текста ответов вопросам"
"passed","Sun May 26 12:10:40 MSK 2024","Sun May 26 12:10:41 MSK 2024","834","tests","test_main_page","TestMainPageQuestions","","","Проверка ответов соответствующим открываемым вопросам","Через метод параметризации поочередно проверяем соответствие текста ответов вопросам"
"passed","Sun May 26 12:11:16 MSK 2024","Sun May 26 12:11:17 MSK 2024","820","tests","test_main_page","TestMainPageQuestions","","","Проверка ответов соответствующим открываемым вопросам","Через метод параметризации поочередно проверяем соответствие текста ответов вопросам"
"passed","Sun May 26 12:11:48 MSK 2024","Sun May 26 12:11:49 MSK 2024","786","tests","test_main_page","TestMainPageQuestions","","","Проверка ответов соответствующим открываемым вопросам","Через метод параметризации поочередно проверяем соответствие текста ответов вопросам"
